accuracy, i_max_iter, i_k
0.046, 10, 10
0.047, 10, 10
0.046, 10, 10
0.042, 10, 10
0.045, 10, 10
0.047, 10, 10
0.034, 10, 10
0.05, 10, 10
0.047, 10, 10
0.043, 10, 10
0.876, 10, 100
0.875, 10, 100
0.897, 10, 100
0.875, 10, 100
0.88, 10, 100
0.882, 10, 100
0.891, 10, 100
0.88, 10, 100
0.881, 10, 100
0.877, 10, 100
0.876, 10, 1000
0.899, 10, 1000
0.878, 10, 1000
0.893, 10, 1000
0.884, 10, 1000
0.875, 10, 1000
0.887, 10, 1000
0.875, 10, 1000
0.874, 10, 1000
0.923, 10, 1000
0.892, 10, 10000
0.884, 10, 10000
0.875, 10, 10000
0.888, 10, 10000
0.866, 10, 10000
0.887, 10, 10000
0.879, 10, 10000
0.884, 10, 10000
0.89, 10, 10000
0.894, 10, 10000
0.888, 10, 100000
0.878, 10, 100000
0.889, 10, 100000
0.886, 10, 100000
0.891, 10, 100000
0.885, 10, 100000
0.897, 10, 100000
0.882, 10, 100000
0.894, 10, 100000
0.9, 10, 100000
0.042, 10, 10
0.041, 10, 10
0.055, 10, 10
0.045, 10, 10
0.039, 10, 10
0.041, 10, 10
0.051, 10, 10
0.042, 10, 10
0.035, 10, 10
0.048, 10, 10
0.877, 10, 100
0.885, 10, 100
0.883, 10, 100
0.884, 10, 100
0.879, 10, 100
0.882, 10, 100
0.875, 10, 100
0.866, 10, 100
0.894, 10, 100
0.884, 10, 100
0.886, 10, 1000
0.892, 10, 1000
0.887, 10, 1000
0.877, 10, 1000
0.895, 10, 1000
0.892, 10, 1000
0.864, 10, 1000
0.892, 10, 1000
0.889, 10, 1000
0.897, 10, 1000
0.881, 10, 10000
0.876, 10, 10000
0.872, 10, 10000
0.896, 10, 10000
0.881, 10, 10000
0.882, 10, 10000
0.9, 10, 10000
0.885, 10, 10000
0.876, 10, 10000
0.875, 10, 10000
0.885, 10, 100000
0.881, 10, 100000
0.898, 10, 100000
0.879, 10, 100000
0.889, 10, 100000
0.886, 10, 100000
0.879, 10, 100000
0.892, 10, 100000
0.889, 10, 100000
0.881, 10, 100000
0.053, 10, 10
0.036, 10, 10
0.049, 10, 10
0.04, 10, 10
0.051, 10, 10
0.033, 10, 10
0.048, 10, 10
0.043, 10, 10
0.044, 10, 10
0.031, 10, 10
0.88, 10, 100
0.889, 10, 100
0.87, 10, 100
0.898, 10, 100
0.893, 10, 100
0.88, 10, 100
0.889, 10, 100
0.881, 10, 100
0.873, 10, 100
0.89, 10, 100
0.888, 10, 1000
0.879, 10, 1000
0.874, 10, 1000
0.873, 10, 1000
0.893, 10, 1000
0.876, 10, 1000
0.871, 10, 1000
0.885, 10, 1000
0.878, 10, 1000
0.877, 10, 1000
0.875, 10, 10000
0.891, 10, 10000
0.889, 10, 10000
0.906, 10, 10000
0.867, 10, 10000
0.887, 10, 10000
0.88, 10, 10000
0.889, 10, 10000
0.88, 10, 10000
0.884, 10, 10000
0.894, 10, 100000
0.879, 10, 100000
0.882, 10, 100000
0.891, 10, 100000
0.883, 10, 100000
0.917, 10, 100000
0.883, 10, 100000
0.886, 10, 100000
0.895, 10, 100000
0.892, 10, 100000
0.033, 10, 10
0.041, 10, 10
0.045, 10, 10
0.043, 10, 10
0.044, 10, 10
0.047, 10, 10
0.043, 10, 10
0.044, 10, 10
0.046, 10, 10
0.041, 10, 10
0.889, 10, 100
0.894, 10, 100
0.867, 10, 100
0.871, 10, 100
0.875, 10, 100
0.875, 10, 100
